Lat,Long,cat2,x,Start
39.16971408,-77.28165641,6,0,12/2/14
39.17971943,-77.27344204,2942,0,12/2/14
39.04207493,-77.05919282,21,0,12/2/14
39.10824702,-77.05133074,6,0,12/2/14
39.03636374,-77.1578121,6,0,12/2/14
39.05560353,-76.95732445,27,0,12/2/14
39.1802436,-77.26849811,6,0,12/2/14
38.99687705,-77.02544423,6,0,12/2/14
38.99843827,-77.0287483,22,0,12/2/14
38.99156643,-77.0771672,29,0,12/2/14
39.18602337,-77.2638424,18,0,12/2/14
39.03738588,-77.05163598,6,0,12/3/14
38.96044203,-77.09386467,14,0,12/3/14
39.11888436,-77.18259069,27,0,12/3/14
39.0967711,-77.2345014,21,0,12/3/14
39.05269731,-76.95317842,11,0,12/3/14
39.00865126,-76.99198321,8,0,12/3/14
39.04716297,-77.05204036,3,0,12/3/14
39.0534202,-77.07072335,2942,0,12/4/14
39.15791395,-77.2076011,5,0,12/4/14
39.10793814,-77.14811,29,0,12/4/14
39.14223101,-77.19334619,8,0,12/4/14
39.03055389,-77.1631952,6,0,12/4/14
39.11502824,-77.24861072,10,0,12/4/14
39.15067674,-77.20405895,6,0,12/4/14
39.13132163,-76.9791708,2942,0,12/4/14
39.18533256,-77.27019398,6,0,12/4/14
39.08272417,-77.15103393,6,0,12/5/14
39.15081171,-77.06216882,28,0,12/5/14
39.17052917,-77.2838578,4,0,12/5/14
39.08547517,-76.94040833,5,0,12/5/14
39.11787688,-77.25289404,6,0,12/5/14
39.00837136,-77.15792629,5,0,12/5/14
39.01301595,-76.98499755,29,0,12/5/14
39.08774745,-76.94936828,18,0,12/5/14
39.06215159,-77.06707562,18,0,12/5/14
39.02384251,-77.06620014,10,0,12/5/14
39.02197521,-77.14664246,6,0,12/5/14
39.06990064,-77.07070491,3,0,12/5/14
38.96191471,-77.0862487,6,0,12/5/14
38.99610455,-77.0319271,6,0,12/5/14
38.99161493,-77.01010319,28,0,12/5/14
38.99903963,-77.0261708,18,0,12/5/14
39.00818101,-77.14992191,27,0,12/5/14
39.08924139,-77.06948891,29,0,12/6/14
38.99657927,-77.10903355,29,0,12/6/14
38.98936265,-77.09812205,24,0,12/6/14
39.07007032,-76.95252268,2942,0,12/6/14
38.99965966,-76.99528089,29,0,12/6/14
39.08303061,-76.93855621,6,0,12/6/14
39.19841751,-77.24491824,6,0,12/6/14
39.14534377,-77.19525638,5,0,12/6/14
39.06279783,-77.1180711,2942,0,12/6/14
39.13892776,-77.1868767,29,0,12/6/14
39.22871664,-77.25207127,29,0,12/6/14
39.16439247,-77.30571564,6,0,12/7/14
38.99516548,-77.10878349,28,0,12/7/14
39.03738588,-77.05163598,6,0,12/7/14
39.00073244,-77.00045465,8,0,12/7/14
39.14550562,-77.1630115,8,0,12/7/14
39.02197521,-77.14664246,6,0,12/7/14
39.18533654,-77.18744023,2942,0,12/7/14
38.99304842,-77.02414221,18,0,12/7/14
39.17833951,-77.24189034,22,0,12/8/14
39.07965019,-77.20377883,6,0,12/8/14
39.14069255,-77.19465735,28,0,12/8/14
39.07008916,-77.12271701,6,0,12/8/14
39.182286,-77.2369727,6,0,12/8/14
39.08388099,-77.07784302,6,0,12/8/14
