Pickup_latitude,Pickup_longitude,duration,total_adjusted,total,Fare_amount,Tip_amount,Trip_distance,RateCodeID
40.75624084,-73.89927673,18.57,33.14,35,35,0,12.4,5
40.76662827,-73.9212265,28.17,41.6235,43.32,34.5,8.82,11.31,1
40.82541656,-73.94355774,23.2,40.95,42.75,34.5,8.25,12,1
40.68591309,-73.95343018,28.8,39.8815,41.56,34.5,7.06,11.19,1
40.67604446,-74.00084686,24.35,39.76,41.65,34.5,7.15,12.6,1
40.675457,-73.8717804,37,37.155,38.7,34.5,4.2,10.3,1
40.81062698,-73.95233154,37.87,35.904,37.5,34.5,3,10.64,1
40.78972626,-73.95251465,36.33,33,34.5,34.5,0,10,1
40.82711029,-73.92266083,30.7,32.85,34.5,34.5,0,11,1
40.72149658,-73.8443985,23.53,32.715,34.5,34.5,0,11.9,1
40.78979111,-73.95217133,43.73,39.6795,41.16,34,7.16,9.87,1
40.71224976,-73.8892746,43.72,39.676,40.96,34,6.96,8.56,1
40.70593643,-73.96685028,38.83,39.6205,40.96,34,6.96,8.93,1
40.68361282,-73.99256897,32.82,39.5525,41.06,34,7.06,10.05,1
40.68680573,-73.99038696,23.32,39.28,41.05,34,7.05,11.8,1
40.72093201,-73.95716095,31.42,37.395,39,34,5,10.7,1
40.80864334,-73.95529938,26.98,36.7665,38.4,34,4.4,10.89,1
40.7178421,-73.95763397,42.63,36.656,38,34,4,8.96,1
40.80226517,-73.93397522,53,33.3055,34,34,0,4.63,1
40.7896347,-73.9541626,51,33.025,34,34,0,6.5,1
40.6895752,-73.97107697,50.3,32.878,34,34,0,7.48,1
40.81529617,-73.95830536,41.97,32.71,34,34,0,8.6,1
40.71648026,-73.96134949,40.93,32.605,34,34,0,9.3,1
40.69609833,-73.93487549,30.35,32.3275,34,34,0,11.15,1
40.76768494,-73.91112518,26.02,32.2615,34,34,0,11.59,1
40.77127838,-73.91776276,27.95,32.197,34,34,0,12.02,1
40.74769211,-73.88381958,42.78,39.1385,40.46,33.5,6.96,8.81,1
40.83196259,-73.92008972,35.62,38.967,40.56,33.5,7.06,10.62,1
40.68804169,-73.95983887,25.53,38.7815,40.46,33.5,6.96,11.19,1
40.81943512,-73.94356537,20.42,38.605,40.45,33.5,6.95,12.3,1
